"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"249","6-DMSO_3","EF",1,"P13","well1","E6","384_Master","Master_Library_DWPlate",30
"250","6-DMSO_4","EF",1,"B05","well1","E6","384_Master","Master_Library_DWPlate",30
"251","6-DMSO_5-min","EF",1,"J01","well1","E6","384_Master","Master_Library_DWPlate",30
"252","6-DMSO_6-DMSO","EF",1,"A07","well1","E6","384_Master","Master_Library_DWPlate",30
"253","1-max_1-max","EF",2,"J17","well1","E1","384_Master","Master_Library_DWPlate",30
"254","1-max_2","EF",2,"H02","well1","E1","384_Master","Master_Library_DWPlate",30
"255","1-max_3","EF",2,"D05","well1","E1","384_Master","Master_Library_DWPlate",30
"256","1-max_4","EF",2,"J07","well1","E1","384_Master","Master_Library_DWPlate",30
"257","1-max_5-min","EF",2,"B12","well1","E1","384_Master","Master_Library_DWPlate",30
"258","1-max_6-DMSO","EF",2,"K14","well1","E1","384_Master","Master_Library_DWPlate",30
"259","2_1-max","EF",2,"P17","well1","E2","384_Master","Master_Library_DWPlate",30
"260","2_2","EF",2,"N06","well1","E2","384_Master","Master_Library_DWPlate",30
"261","2_3","EF",2,"H06","well1","E2","384_Master","Master_Library_DWPlate",30
"262","2_4","EF",2,"F08","well1","E2","384_Master","Master_Library_DWPlate",30
"263","2_5-min","EF",2,"L23","well1","E2","384_Master","Master_Library_DWPlate",30
"264","2_6-DMSO","EF",2,"C05","well1","E2","384_Master","Master_Library_DWPlate",30
"265","3_1-max","EF",2,"F18","well1","E3","384_Master","Master_Library_DWPlate",30
"266","3_2","EF",2,"D06","well1","E3","384_Master","Master_Library_DWPlate",30
"267","3_3","EF",2,"C07","well1","E3","384_Master","Master_Library_DWPlate",30
"268","3_4","EF",2,"O18","well1","E3","384_Master","Master_Library_DWPlate",30
"269","3_5-min","EF",2,"C11","well1","E3","384_Master","Master_Library_DWPlate",30
"270","3_6-DMSO","EF",2,"N19","well1","E3","384_Master","Master_Library_DWPlate",30
"271","4_1-max","EF",2,"C17","well1","E4","384_Master","Master_Library_DWPlate",30
"272","4_2","EF",2,"B10","well1","E4","384_Master","Master_Library_DWPlate",30
"273","4_3","EF",2,"F15","well1","E4","384_Master","Master_Library_DWPlate",30
"274","4_4","EF",2,"L07","well1","E4","384_Master","Master_Library_DWPlate",30
"275","4_5-min","EF",2,"L09","well1","E4","384_Master","Master_Library_DWPlate",30
"276","4_6-DMSO","EF",2,"N21","well1","E4","384_Master","Master_Library_DWPlate",30
"277","5-min_1-max","EF",2,"C23","well1","E5","384_Master","Master_Library_DWPlate",30
"278","5-min_2","EF",2,"C10","well1","E5","384_Master","Master_Library_DWPlate",30
"279","5-min_3","EF",2,"F06","well1","E5","384_Master","Master_Library_DWPlate",30
"280","5-min_4","EF",2,"L04","well1","E5","384_Master","Master_Library_DWPlate",30
"281","5-min_5-min","EF",2,"I13","well1","E5","384_Master","Master_Library_DWPlate",30
"282","5-min_6-DMSO","EF",2,"A24","well1","E5","384_Master","Master_Library_DWPlate",30
"283","6-DMSO_1-max","EF",2,"H01","well1","E6","384_Master","Master_Library_DWPlate",30
"284","6-DMSO_2","EF",2,"P21","well1","E6","384_Master","Master_Library_DWPlate",30
"285","6-DMSO_3","EF",2,"N15","well1","E6","384_Master","Master_Library_DWPlate",30
"286","6-DMSO_4","EF",2,"E19","well1","E6","384_Master","Master_Library_DWPlate",30
"287","6-DMSO_5-min","EF",2,"O16","well1","E6","384_Master","Master_Library_DWPlate",30
"288","6-DMSO_6-DMSO","EF",2,"K12","well1","E6","384_Master","Master_Library_DWPlate",30
"289","1-max_1-max","EF",3,"C18","well1","E1","384_Master","Master_Library_DWPlate",30
"290","1-max_2","EF",3,"D01","well1","E1","384_Master","Master_Library_DWPlate",30
"291","1-max_3","EF",3,"M03","well1","E1","384_Master","Master_Library_DWPlate",30
"292","1-max_4","EF",3,"B16","well1","E1","384_Master","Master_Library_DWPlate",30
"293","1-max_5-min","EF",3,"M14","well1","E1","384_Master","Master_Library_DWPlate",30
"294","1-max_6-DMSO","EF",3,"A16","well1","E1","384_Master","Master_Library_DWPlate",30
"295","2_1-max","EF",3,"G10","well1","E2","384_Master","Master_Library_DWPlate",30
"296","2_2","EF",3,"E05","well1","E2","384_Master","Master_Library_DWPlate",30
"297","2_3","EF",3,"K17","well1","E2","384_Master","Master_Library_DWPlate",30
"298","2_4","EF",3,"D13","well1","E2","384_Master","Master_Library_DWPlate",30
"299","2_5-min","EF",3,"C20","well1","E2","384_Master","Master_Library_DWPlate",30
"300","2_6-DMSO","EF",3,"C04","well1","E2","384_Master","Master_Library_DWPlate",30
"301","3_1-max","EF",3,"P20","well1","E3","384_Master","Master_Library_DWPlate",30
"302","3_2","EF",3,"B14","well1","E3","384_Master","Master_Library_DWPlate",30
"303","3_3","EF",3,"P12","well1","E3","384_Master","Master_Library_DWPlate",30
"304","3_4","EF",3,"G06","well1","E3","384_Master","Master_Library_DWPlate",30
"305","3_5-min","EF",3,"L11","well1","E3","384_Master","Master_Library_DWPlate",30
"306","3_6-DMSO","EF",3,"D24","well1","E3","384_Master","Master_Library_DWPlate",30
"307","4_1-max","EF",3,"N08","well1","E4","384_Master","Master_Library_DWPlate",30
"308","4_2","EF",3,"P01","well1","E4","384_Master","Master_Library_DWPlate",30
"309","4_3","EF",3,"H11","well1","E4","384_Master","Master_Library_DWPlate",30
"310","4_4","EF",3,"K05","well1","E4","384_Master","Master_Library_DWPlate",30
"311","4_5-min","EF",3,"K03","well1","E4","384_Master","Master_Library_DWPlate",30
